SystemID;SystemIteration;AlgorithmID;VersionID1;VersionID2;timeInitRegular;timeCoreRegular;timeCleanRegular;timeFirstAddRegular;timeFirstStrongBfsRegular;timeWeakBfsRegular;timeSecondAddRegular;timeSecondStrongBfsRegular;timeFinishRegular;timeInitIncremental;timeCoreIncremental;timeCleanIncremental;timeFirstAddIncremental;timeFirstStrongBfsIncremental;timeWeakBfsIncremental;timeSecondAddIncremental;timeSecondStrongBfsIncremental;timeFinishIncremental;VariablesAdded;VariablesRemoved;VariablesShared;ClausesAdded;ClausesRemoved;ClausesShared;RedundantRegular;StrongRegular;WeakRegular;RedundantIncremental;StrongIncremental;WeakIncremental
1;2;8;1;18;19341;1839600;204248;98362;78393;72105190;8261551;128587;78285;733160;2583557;256313;110539;95568;29945377;7620711;127128;78644;334;94;808;148;26;413;60;1386;412;58;1386;412
1;2;8;1;19;21452;2019805;199384;97017;80861;92381454;9152218;104664;82221;818403;1988062;223620;102404;105864;52607854;8201305;134944;84079;369;102;800;163;30;409;66;1408;682;66;1408;682
1;2;8;1;20;20085;2659400;230536;110093;94325;95545951;10318236;111445;119876;876692;2584808;235126;159334;139372;54852167;9235291;128624;102812;388;102;800;166;30;409;79;1446;706;79;1446;706
1;2;8;1;21;20419;2251135;422873;168093;157376;102375885;11797589;137325;91890;785157;1810327;215938;100512;86361;54861544;9324614;117946;83555;393;106;796;167;32;407;81;1452;712;80;1452;712
1;2;8;1;22;29319;2011482;221273;114474;110110;102886684;11600663;133408;87906;808607;1940063;219305;100565;90684;55676617;9526057;114289;98718;394;106;796;168;32;407;82;1448;706;81;1448;706
1;2;8;1;23;19313;2077472;242275;118812;117819;110275942;10512623;114033;91430;731070;2061463;232716;105163;95155;56301499;9163003;114174;103420;408;110;792;175;34;405;81;1454;724;80;1454;724
1;2;8;1;24;20265;2269803;222251;103088;75752;102559378;13113951;116626;93950;754691;2156818;427460;119176;107003;58180170;10518780;95621;100361;420;110;792;178;34;405;86;1488;742;85;1488;742
1;2;8;1;25;20990;2199874;239275;103790;76478;112081025;10870277;120758;98044;796329;2247738;228876;122633;98378;59705635;9809658;127067;84665;453;133;769;182;36;403;94;1518;736;93;1518;736
1;2;8;1;26;28277;2055250;248442;102138;82593;103627424;11640176;120219;101321;799277;2012545;237484;103608;85949;77278916;10343760;118708;99727;473;133;769;191;36;403;96;1572;736;95;1572;736
1;2;8;1;27;28164;2347197;242647;116828;89128;110293619;10975686;117542;98725;757556;2455517;260557;128719;111548;63570818;9443794;116606;91919;481;138;764;194;37;402;98;1578;718;97;1578;718
1;2;8;1;28;19534;2213923;224349;106947;100738;125878719;11154809;129881;98088;791978;2283197;225278;116519;99294;80477804;10620817;118049;103642;487;138;764;197;37;402;96;1586;736;95;1586;736
1;2;8;1;29;21573;1906585;231085;110611;96288;120211542;11367625;122044;102455;754567;2042252;250985;120327;115260;64919361;10000576;124502;94845;495;138;764;200;37;402;98;1594;730;97;1594;730
1;2;8;1;30;21187;2458564;226709;107388;96311;117167475;11558631;135457;110223;798860;1943072;247822;107993;94714;77482671;10965294;131077;111995;511;138;764;206;37;402;101;1640;736;100;1640;736
1;2;8;1;31;20883;2272571;243536;110722;98390;119228877;11534737;140304;101405;767262;2325424;234369;107017;96084;70514981;11885908;146021;94304;517;144;758;210;41;398;100;1640;742;99;1640;742
1;2;8;1;32;21098;2305030;243653;123083;104465;135477276;12317616;145331;105708;1452321;2569911;260830;118218;101884;85101730;11937799;145300;109130;549;153;749;225;45;394;99;1676;762;98;1676;762
1;2;8;1;33;19847;2506268;236490;110598;103382;150890622;12341673;143963;107769;775285;2357878;266975;122714;113860;88436030;11011870;146408;91493;554;153;749;228;45;394;101;1676;762;100;1676;762
1;2;8;1;34;21305;2290266;243419;116904;100855;149306626;13532844;146526;102693;862578;2207103;234074;111557;93363;94870362;12481843;127930;114666;572;155;747;234;45;394;101;1720;780;100;1720;780
1;2;8;1;35;21371;2559539;247512;107428;98063;123639509;13035052;138776;105730;819771;2491904;255196;120378;99092;79198121;11360272;128557;98666;578;168;734;237;45;394;90;1732;730;89;1732;730
1;2;8;2;3;17120;1657024;189203;85644;72750;41499858;6488659;84984;62922;692240;1814145;186912;87892;75155;684900;1154326;75014;62510;11;0;934;5;0;454;42;1088;356;42;1088;356
1;2;8;3;4;17225;1978014;177398;82700;64448;48423712;7011227;90392;70168;718761;3294394;214896;100658;102749;2328019;2235751;90368;66796;29;4;941;11;1;458;42;1140;368;42;1140;368
1;2;8;4;5;17787;1737554;187621;85792;68034;46807071;6287936;83516;67128;1088804;2135479;203538;93675;71217;923043;1323939;82849;66340;8;1;969;3;0;469;42;1164;368;42;1164;368
1;2;8;5;6;17128;1742126;181757;88469;71185;50824359;6648912;85257;77178;744392;2448539;226311;97421;73367;4179491;1517015;98660;67621;11;2;975;4;1;471;43;1184;368;43;1184;368
1;2;8;6;7;18785;1839804;188118;91915;85668;53056424;6523542;93478;72359;686393;1794532;202620;89826;72394;2923372;2609113;130814;117789;21;10;976;8;1;474;46;1216;366;44;1216;366
1;2;8;7;8;19722;1806683;183778;91079;65222;68052670;6965235;89886;83274;664333;1572636;191945;89559;77657;590875;949504;86061;69957;11;0;997;5;0;482;48;1240;354;46;1240;366
1;2;8;8;9;20057;1716533;210132;89301;66029;58688287;6701261;93063;70945;720449;2267763;373034;113716;86718;867144;1275247;67738;71193;12;2;1006;7;1;486;47;1248;360;47;1248;360
1;2;8;9;10;19294;1990183;213906;105811;93778;75751490;7596133;135069;76093;720920;2120268;227564;97656;87078;6026516;3160316;114845;85744;113;3;1015;55;2;491;50;1372;384;49;1372;384
1;2;8;10;11;26770;2299006;198459;92647;89468;70988390;8761929;93982;80670;1022949;2622888;219464;104528;76178;3422189;2741872;78542;70930;12;43;1085;4;15;531;49;1218;402;47;1218;414
1;2;8;11;12;18624;2058935;212410;102681;83289;70084984;8600652;113029;68682;709454;2095946;371190;156469;159835;2779225;2387666;97029;71605;8;2;1095;3;1;534;47;1232;428;47;1232;428
1;2;8;12;13;18750;1856450;201955;119474;91863;76032273;9212286;99358;82436;723518;2221544;215080;100154;79439;3762301;2835210;120005;81108;38;12;1091;8;2;535;67;1310;418;61;1310;430
1;2;8;13;14;19841;1888828;208059;122245;85059;69291948;8891418;113366;72665;753284;1766405;204091;98194;89214;4535930;2057752;114935;76795;14;0;1129;7;0;543;65;1334;430;67;1334;418
1;2;8;14;15;19465;1761180;204465;97228;93253;66224913;8693053;116190;84940;742919;1930622;220536;103061;97455;6217693;2753999;121482;85134;32;6;1137;7;0;550;86;1526;440;72;1526;440
1;2;8;15;16;31219;2213706;208119;99500;86081;76894818;8440058;108731;94892;738717;2165723;268715;104483;87767;3903471;2483876;106488;84896;8;30;1139;5;16;541;78;1464;436;81;1464;472
1;2;8;16;17;20182;1790933;199975;93870;72362;74736726;8883083;116622;85772;752513;2284468;217754;98334;96251;5420962;2866702;105191;80046;40;55;1092;16;6;540;60;1370;412;54;1398;418
1;2;8;17;18;19341;1839600;204248;98362;78393;72105190;8261551;128587;78285;808137;2459978;358788;117579;97858;1990942;1828585;93764;77234;16;6;1126;8;3;553;60;1386;412;60;1386;412
1;2;8;18;19;21452;2019805;199384;97017;80861;92381454;9152218;104664;82221;855300;2040582;406735;166444;138892;21720767;5681770;130355;96288;43;16;1126;18;7;554;66;1408;682;64;1408;682
1;2;8;19;20;20085;2659400;230536;110093;94325;95545951;10318236;111445;119876;786040;2604650;246193;146105;91558;3894193;3455220;136058;85643;21;2;1167;3;0;572;79;1446;706;75;1446;706
1;2;8;20;21;20419;2251135;422873;168093;157376;102375885;11797589;137325;91890;800093;2089559;247595;128527;93219;3624431;1780054;101977;97579;5;4;1184;1;2;573;81;1452;712;80;1452;712
1;2;8;21;22;29319;2011482;221273;114474;110110;102886684;11600663;133408;87906;824519;2422085;272914;122481;96597;1237713;1573949;86903;77944;5;4;1185;3;2;572;82;1448;706;81;1448;712
