ModelID;AlgorithmID;SystemIteration;AlgorithmIteration;InTime;NoError;Time;Size
0;2;36;1;true;true;238;2
0;3;36;1;true;true;259;2
0;4;36;1;true;true;248;7
0;5;36;1;true;true;256;7
0;6;36;1;true;true;240;7
0;7;36;1;true;true;246;7
0;0;37;1;true;true;243;2
0;1;37;1;true;true;239;2
0;2;37;1;true;true;235;2
0;3;37;1;true;true;242;2
0;4;37;1;true;true;238;6
0;5;37;1;true;true;246;6
0;6;37;1;true;true;234;6
0;7;37;1;true;true;242;6
0;0;38;1;true;true;243;2
0;1;38;1;true;true;236;2
0;2;38;1;true;true;251;2
0;3;38;1;true;true;236;2
0;4;38;1;true;true;252;7
0;5;38;1;true;true;258;7
0;6;38;1;true;true;242;7
0;7;38;1;true;true;239;6
0;0;39;1;true;true;244;2
0;1;39;1;true;true;254;2
0;2;39;1;true;true;253;2
0;3;39;1;true;true;251;2
0;4;39;1;true;true;244;7
0;5;39;1;true;true;246;7
0;6;39;1;true;true;241;7
0;7;39;1;true;true;243;6
0;0;40;1;true;true;239;2
0;1;40;1;true;true;251;2
0;2;40;1;true;true;241;2
0;3;40;1;true;true;250;2
0;4;40;1;true;true;239;6
0;5;40;1;true;true;236;6
0;6;40;1;true;true;242;6
0;7;40;1;true;true;240;7
0;0;41;1;true;true;235;2
0;1;41;1;true;true;245;2
0;2;41;1;true;true;253;2
0;3;41;1;true;true;240;2
0;4;41;1;true;true;253;6
0;5;41;1;true;true;243;6
0;6;41;1;true;true;248;6
0;7;41;1;true;true;240;6
0;0;42;1;true;true;239;2
0;1;42;1;true;true;250;2
0;2;42;1;true;true;246;2
0;3;42;1;true;true;241;2
0;4;42;1;true;true;238;6
0;5;42;1;true;true;252;6
0;6;42;1;true;true;252;6
0;7;42;1;true;true;265;7
0;0;43;1;true;true;237;2
0;1;43;1;true;true;254;2
0;2;43;1;true;true;240;2
0;3;43;1;true;true;242;2
0;4;43;1;true;true;239;7
0;5;43;1;true;true;239;7
0;6;43;1;true;true;244;7
0;7;43;1;true;true;240;8
0;0;44;1;true;true;248;2
0;1;44;1;true;true;242;2
0;2;44;1;true;true;254;2
0;3;44;1;true;true;241;2
0;4;44;1;true;true;243;6
0;5;44;1;true;true;250;6
0;6;44;1;true;true;256;6
0;7;44;1;true;true;240;6
0;0;45;1;true;true;255;2
0;1;45;1;true;true;244;2
0;2;45;1;true;true;243;2
0;3;45;1;true;true;239;2
0;4;45;1;true;true;241;6
0;5;45;1;true;true;248;6
0;6;45;1;true;true;240;6
0;7;45;1;true;true;247;6
0;0;46;1;true;true;260;2
0;1;46;1;true;true;236;2
0;2;46;1;true;true;246;2
0;3;46;1;true;true;241;2
0;4;46;1;true;true;250;8
0;5;46;1;true;true;245;8
0;6;46;1;true;true;241;8
0;7;46;1;true;true;246;6
0;0;47;1;true;true;237;2
0;1;47;1;true;true;243;2
0;2;47;1;true;true;253;2
0;3;47;1;true;true;249;2
0;4;47;1;true;true;246;6
0;5;47;1;true;true;259;6
0;6;47;1;true;true;237;6
0;7;47;1;true;true;238;6
0;0;48;1;true;true;257;2
0;1;48;1;true;true;240;2
0;2;48;1;true;true;246;2
0;3;48;1;true;true;237;2
0;4;48;1;true;true;239;7
0;5;48;1;true;true;241;7
0;6;48;1;true;true;254;7
0;7;48;1;true;true;239;6
0;0;49;1;true;true;237;2
0;1;49;1;true;true;251;2
0;2;49;1;true;true;250;2
0;3;49;1;true;true;245;2
0;4;49;1;true;true;240;6
0;5;49;1;true;true;250;6
0;6;49;1;true;true;241;6
0;7;49;1;true;true;242;7
0;0;50;1;true;true;273;2
0;1;50;1;true;true;238;2
0;2;50;1;true;true;238;2
0;3;50;1;true;true;241;2
0;4;50;1;true;true;268;6
0;5;50;1;true;true;250;6
0;6;50;1;true;true;241;6
0;7;50;1;true;true;238;8
0;0;51;1;true;true;237;2
